年周,开始日期,项目/车型,产品编码,产品名称,单位,单车用量,星期日,星期一,星期二,星期三,星期四,星期五,星期六,计划量,完成量,完成率,属性
2025_48,2025-11-23,BP76,BP76B-XC-04,BP76B-右边梁,个,1,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1400,1368.0,98.0,本厂
2025_48,2025-11-23,BP76,BP76B-XC-06,BP76B-中纵梁,个,1,1.0,1.0,550.0,550.0,1.0,1.0,1.0,1105,833.0,75.0,本厂
2025_48,2025-11-23,BP62,BP62-XC-05-A,BP62横梁-A,个,1,350.0,350.0,350.0,350.0,350.0,350.0,350.0,2450,629.0,26.0,本厂
2025_48,2025-11-23,BP62,BP62-XC-06-A,BP62中梁-A,个,1,290.0,290.0,290.0,290.0,290.0,290.0,290.0,2030,1347.0,66.0,本厂
2025_48,2025-11-23,BP45,BP45B-XC-05,BP45（76）B前横梁,个,1,300.0,300.0,300.0,300.0,300.0,300.0,300.0,2100,1488.0,71.0,本厂
2025_48,2025-11-23,BP45,BP45B-XC-03,BP45（76）B左边梁,个,1,240.0,240.0,240.0,240.0,240.0,240.0,240.0,1680,1994.0,119.0,本厂
2025_48,2025-11-23,53KWH,500109-00552-01-06,53KWH前梁（552）,个,1,320.0,320.0,320.0,320.0,320.0,320.0,320.0,2240,2105.0,94.0,本厂
2025_48,2025-11-23,53KWH,500109-00552-01-10,53KWH中间纵梁（552）,个,1,320.0,320.0,320.0,320.0,320.0,320.0,320.0,2240,5185.0,231.0,本厂
2025_48,2025-11-23,37KWH,500109-00515-01-07,37KWH膨胀梁,个,1,300.0,300.0,300.0,300.0,300.0,300.0,300.0,2100,3445.0,164.0,本厂
2025_48,2025-11-23,025AC,10062035-0-05,025AC前横梁,个,1,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1400,983.0,70.0,本厂
2025_48,2025-11-23,025AC,10062035-0-11,025AC右边梁,个,1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,910,940.0,103.0,本厂
2025_48,2025-11-23,025AC,10062035-0-06,025AC中横梁,个,1,1.0,1.0,1.0,280.0,280.0,1.0,280.0,844,375.0,44.0,本厂
2025_48,2025-11-23,025AC,10062035-0-07,025AC纵梁,个,1,1.0,1.0,1.0,1.0,1.0,300.0,300.0,605,1454.0,240.0,本厂
2025_48,2025-11-23,025AC,10062035-0-03,025AC左边梁,个,1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,910,819.0,90.0,本厂
2025_47,2025-11-16,面板,445,445后面板 （旧）,个,1,,,1.0,1.0,1.0,1.0,1.0,5,64.0,1280.0,本厂
2025_47,2025-11-16,面板,445-A2,445后面板A2 (新),个,1,,,1.0,1.0,1.0,1.0,1.0,5,110.0,2200.0,本厂
2025_47,2025-11-16,面板,C33-006,C33-006后面板,个,1,1.0,1.0,,,,,,2,138.0,6900.0,本厂
2025_47,2025-11-16,F3-CCB,5306020-RR01,F3-CCB,件,1,310.0,310.0,310.0,310.0,310.0,310.0,310.0,2170,435.0,20.0,
2025_47,2025-11-16,DJ2436,5040076374-XC-14,DJ2436中部横梁,个,1,160.0,160.0,160.0,160.0,160.0,160.0,160.0,1120,375.0,33.0,本厂
2025_47,2025-11-16,BX4,500109-00428-01-01-02-D,BX4右侧梁(两驱),个,1,220.0,220.0,220.0,220.0,220.0,220.0,220.0,1540,492.0,32.0,本厂
2025_47,2025-11-16,BX4,500109-00428-01-13-02-C,BX4纵梁右(两驱),个,1,160.0,160.0,160.0,160.0,160.0,160.0,160.0,1120,898.0,80.0,本厂
2025_47,2025-11-16,BX4,500109-00428-01-13-01-C,BX4纵梁左(两驱),个,1,160.0,160.0,160.0,160.0,160.0,160.0,160.0,1120,1379.0,123.0,本厂
2025_47,2025-11-16,BX4,500109-00427-01-01-01-D,BX4左侧梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,220.0,1540,755.0,49.0,本厂
