产品编码,产品名称,领料物资ID,材料规格,领料物资名称,产品/项目,单台用量,毛坯重【KG】,产品重【KG】,铝块重【KG】,铝屑重【KG】,领料单位,默认客户
500104-00404-01-21,DC1E后梁01,500104-00404-01-21-YL,1377,DC1E后梁01,DC1E,1,4.882,4.452,0.098,0.332,机加部,祥鑫
500104-00404-03-07,DC1E补强支架,500104-00404-03-07-YL,500104-00404-03-07-YL,DC1E补强支架,DC1E,2,0.22,0.22,0.0,0.0,外协,祥鑫
500104-00404-03-27,DC1E补强支架01,500104-00404-03-27-YL,500104-00404-03-27-YL,DC1E补强支架01,DC1E,2,0.315,0.314,0.0,0.001,外协,祥鑫
5040076374-XC-01,DJ2436后面板,5040076374-XC-01-YL,1005,DJ2436后面板,DJ2436,1,2.43,1.516,0.0,0.914,质检部,祥鑫
5040076374-XC-02,DJ2436右斜边框,5040076374-XC-02-YL,5040076374-XC-02-YL,DJ2436右斜边框,DJ2436,1,0.522,0.389,0.0,0.133,外协,祥鑫
5040076374-XC-03,DJ2436左斜边框,5040076374-XC-03-YL,5040076374-XC-03-YL,DJ2436左斜边框,DJ2436,1,0.522,0.389,0.0,0.133,外协,祥鑫
5040076374-XC-04,DJ2436右边框04,5040076374-XC-04-YL,5040076374-XC-04-YL,DJ2436右边框,DJ2436,1,0.571,0.473,0.0,0.098,外协,祥鑫
5040076374-XC-05,DJ2436左边框05,5040076374-XC-05-YL,5040076374-XC-05-YL,DJ2436左边框05,DJ2436,1,0.571,0.473,0.0,0.098,外协,祥鑫
5040076374-XC-06,DJ2436前框梁,5040076374-XC-06-YL,1320,DJ2436前框梁,DJ2436,1,4.582,4.156,0.0,0.426,质检部,祥鑫
5040076374-XC-07,DJ2436后横梁-左,5040076374-XC-07-YL,5040076374-XC-07-YL,DJ2436后横梁-左,DJ2436,1,0.477,0.389,0.0,0.088,外协,祥鑫
5040076374-XC-08,DJ2436后横梁-右,5040076374-XC-08-YL,5040076374-XC-08-YL,DJ2436后横梁-右,DJ2436,1,0.512,0.433,0.0,0.079,外协,祥鑫
