产品编码,产品名称,领料物资ID,材料规格,领料物资名称,产品/项目,单台用量,毛坯重【KG】,产品重【KG】,铝块重【KG】,铝屑重【KG】,领料单位,默认客户
500110-00794-01-01,AWT50.9-前梁,500110-00794-01-01/02-YL-GY,1264.6,AWT-50.9KWH-前后梁,AWT-50.9KWH,1,2.58,2.345,0.0,0.235,质检部,祥鑫
500110-00794-01-02,AWT50.9-后梁,500110-00794-01-01/02-YL-GY,1264.6,AWT-50.9KWH-前后梁,AWT-50.9KWH,1,2.58,2.35,0.0,0.23,质检部,祥鑫
500110-00794-01-03,AWT50.9-左边梁,500110-00794-01-03-YL,1464,AWT-50.9KWH-左边梁,AWT-50.9KWH,1,6.67,5.63,0.565,0.475,质检部,祥鑫
500110-00794-01-04,AWT50.9-右边梁,500110-00794-01-04-YL,1464,AWT-50.9KWH-右边梁,AWT-50.9KWH,1,6.67,6.075,0.275,0.32,质检部,祥鑫
500110-00794-01-05,AWT50.9-前膨胀梁,500110-00794-01-05-YL,1211.3,AWT-50.9KWH-前膨胀梁,AWT-50.9KWH,1,2.952,2.9,0.0,0.052,质检部,祥鑫
500110-00794-01-06,AWT50.9-后膨胀梁,500110-00794-01-06-YL,1176,AWT-50.9KWH-后膨胀梁,AWT-50.9KWH,1,2.82,2.765,0.0,0.055,质检部,祥鑫
500110-00794-01-07,AWT50.9-加强支架,500110-00794-01-07-YL,56.5,AWT-50.9KWH-加强支架,AWT-50.9KWH,5,0.0,0.0,0.0,0.0,质检部,祥鑫
500110-00794-01-08,AWT50.9-BMS安装支架01,500110-00794-01-08-YL,161.5,AWT-50.9KWH-BMS安装支架01,AWT-50.9KWH,2,0.0,0.0,0.0,0.0,质检部,祥鑫
500110-00794-01-10,AWT50.9-BMS安装支架02,500110-00794-01-10-YL,161.5,AWT-50.9KWH-BMS安装支架02,AWT-50.9KWH,2,0.0,0.0,0.0,0.0,质检部,祥鑫
500110-00794-05-01-01,AWT50.9-钢带安装底座,500110-00794-05-01-01-YL,32.9,AWT-50.9KWH-钢带安装底座,AWT-50.9KWH,8,0.0,0.0,0.0,0.0,质检部,祥鑫
500110-00794-06-01,AWT50.9-挂载支架02,500110-00794-06-01-YL,107.3,AWT-50.9KWH-挂载支架02,AWT-50.9KWH,2,0.0,0.0,0.0,0.0,质检部,祥鑫
500110-00794-06-02,AWT50.9-挂载支架03,500110-00794-06-02-YL,434.9,AWT-50.9KWH-挂载支架03,AWT-50.9KWH,1,0.0,0.0,0.0,0.0,质检部,祥鑫
500110-00794-06-04,AWT50.9-挂载支架01,500110-00794-06-04-YL,66,AWT50.9-挂载支架01,AWT-50.9KWH,2,0.0,0.0,0.0,0.0,质检部,祥鑫
500110-00794-07-04,AWT50.9-封堵环,500110-00794-07-04-YL,62.4,AWT-50.9KWH-封堵环,AWT-50.9KWH,1,0.0,0.0,0.0,0.0,质检部,祥鑫
500110-00794-92-51-01,AWT50.9-外部支架01,500110-00794-92-51-01-YL,25,AWT-50.9KWH-外部支架01,AWT-50.9KWH,1,0.0,0.0,0.0,0.0,质检部,祥鑫
500110-00788-01-04,AWT87.3-前梁01(两驱),500110-00799-01-04-YL,1356.6,AWT87.3-前梁01,AWT-87.3(E16),1,6.195,5.535,0.0,0.66,质检部,祥鑫
500110-00788-01-06,AWT87.3-后梁01（两驱）,500110-00799-01-06-YL,1354.6,AWT87.3-后梁01,AWT-87.3(E16),1,2.755,2.07,0.43,0.255,质检部,祥鑫
500110-00788-01-07,AWT87.3-两侧梁02(两驱),500110-00799-01-05/07-YL-GY,2032,AWT87.3-两侧梁01/02,AWT-87.3(E16),1,9.66,7.97,1.04,0.65,质检部,祥鑫
500110-00788-01-08,AWT87.3-后膨胀梁（两驱）,500110-00799-01-08-YL,1306,AWT87.3-后膨胀梁,AWT-87.3(E16),1,3.735,3.2,0.0,0.535,质检部,祥鑫
500110-00799-01-01,AWT87.3-前膨胀梁,500110-00799-01-01-YL,1306,AWT87.3-前膨胀梁,AWT-87.3(E16),1,5.31,4.775,0.0,0.535,质检部,祥鑫
500110-00799-01-02,AWT87.3-横梁01,500110-00799-01-02/03-YL-GY,1302,AWT87.3-横梁01/02,AWT-87.3(E16),1,3.24,3.115,0.0,0.125,质检部,祥鑫
500110-00799-01-03,AWT87.3-横梁02,500110-00799-01-02/03-YL-GY,1302,AWT87.3-横梁01/02,AWT-87.3(E16),1,3.24,3.065,0.0,0.175,质检部,祥鑫
500110-00799-01-04,AWT87.3-前梁01(四驱),500110-00799-01-04-YL,1356.6,AWT87.3-前梁01,AWT-87.3(E16),1,6.195,4.885,0.0,1.31,质检部,祥鑫
500110-00799-01-05,AWT87.3-两侧梁01,500110-00799-01-05/07-YL-GY,2032,AWT87.3-两侧梁01/02,AWT-87.3(E16),1,9.66,7.975,1.04,0.645,质检部,祥鑫
500110-00799-01-06,AWT87.3-后梁01（四驱）,500110-00799-01-06-YL,1354.6,AWT87.3-后梁01,AWT-87.3(E16),1,2.755,2.055,0.43,0.27,质检部,祥鑫
500110-00799-01-07,AWT87.3-两侧梁02(四驱),500110-00799-01-05/07-YL-GY,2032,AWT87.3-两侧梁01/02,AWT-87.3(E16),1,9.66,7.945,1.04,0.675,质检部,祥鑫
500110-00799-01-08,AWT87.3-后膨胀梁（四驱）,500110-00799-01-08-YL,1306,AWT87.3-后膨胀梁,AWT-87.3(E16),1,3.735,3.205,0.0,0.53,质检部,祥鑫
500110-00799-01-12,AWT87.3-支撑梁01,500110-00799-01-12/13-YL-GY,93.16,AWT87.3-支撑梁01/02,AWT-87.3(E16),1,0.093,0.049,0.0,0.044,质检部,祥鑫
500110-00799-01-13,AWT87.3-支撑梁02,500110-00799-01-12/13-YL-GY,93.16,AWT87.3-支撑梁01/02,AWT-87.3(E16),1,0.093,0.057,0.0,0.036,质检部,祥鑫
500110-00799-01-17,AWT87.3-防撞支架01,500110-00799-01-17-YL,80,AWT87.3-防撞支架01,AWT-87.3(E16),1,0.27,0.227,0.0,0.043,质检部,祥鑫
500110-00799-01-18,AWT87.3-防撞支架02,500110-00799-01-18-YL,102,AWT87.3-防撞支架02,AWT-87.3(E16),1,0.288,0.241,0.0,0.047,质检部,祥鑫
500110-00799-02-03,AWT87.3-挂载支架01,500110-00799-02-03-YL,120.7,AWT87.3-挂载支架01,AWT-87.3(E16),1,1.5,0.541,0.0,0.959,质检部,祥鑫
500110-00799-02-04,AWT87.3-挂载支架02,500110-00799-02-04-YL,120.7,AWT87.3-挂载支架02,AWT-87.3(E16),1,1.226,0.499,0.0,0.727,质检部,祥鑫
500110-00799-02-05,AWT87.3-挂载支架03,500110-00799-02-05-YL,118.03,AWT87.3-挂载支架03,AWT-87.3(E16),1,1.5,0.541,0.0,0.959,质检部,祥鑫
500110-00799-02-06,AWT87.3-挂载支架04,500110-00799-02-06-YL,67.49,AWT87.3-挂载支架04,AWT-87.3(E16),1,0.103,0.087,0.0,0.016,质检部,祥鑫
500110-00799-04-02-01,AWT87.3-外部支架02,500110-00799-04-02-01-YL,26,AWT87.3-外部支架02,AWT-87.3(E16),1,0.01,0.009,0.0,0.001,质检部,祥鑫
500110-00799-04-04-01,AWT87.3-SBOX固定支架,500110-00799-04-04-01-YL,36,AWT87.3-SBOX固定支架,AWT-87.3(E16),1,0.033,0.029,0.0,0.004,质检部,祥鑫
500110-00799-04-10-01,AWT87.3-外部支架07,500110-00799-04-10-01-YL,29,AWT87.3-外部支架7,AWT-87.3(E16),1,0.0,0.0,0.0,0.0,质检部,祥鑫
500110-00799-04-11-01,AWT87.3-外部支架08,500110-00799-04-11-01-YL,33.7,AWT87.3-外部支架08,AWT-87.3(E16),1,0.026,0.022,0.0,0.004,质检部,祥鑫
500110-00799-04-12-01,AWT87.3-外部支架09,500110-00799-04-12-01-YL,31.48,AWT87.3-外部支架09,AWT-87.3(E16),1,0.039,0.035,0.0,0.004,质检部,祥鑫
500110-00799-04-20-01,AWT87.3-客户支架,500110-00799-04-20-01-YL,24.8,AWT87.3-客户支架,AWT-87.3(E16),1,0.032,0.028,0.0,0.004,质检部,祥鑫
500110-00799-04-21-01,AWT87.3-客户安装支架01,500110-00799-04-21-01-YL,60,AWT87.3-客户安装支架01,AWT-87.3(E16),1,0.12,0.087,0.0,0.033,质检部,祥鑫
500110-00799-08-01-03,AWT87.3-封堵环,500110-00799-08-01-03-YL,32.5,AWT87.3-封堵环,AWT-87.3(E16),1,0.017,0.013,0.0,0.004,质检部,祥鑫
BP45A-XC-01,BP45A前边梁,BP45A-XC-01-YL,369.5,BP45A前边梁,BP45,1,1.942,0.603,0.0,1.339,质检部,祥鑫
BP45A-XC-02,BP45A后边梁,BP45A-XC-02-YL,369.5,BP45A后边梁,BP45,1,1.639,0.678,0.0,0.961,质检部,祥鑫
BP45A-XC-03,BP45A前部角梁,BP45A-XC-03/04-YL-GY,48.5,BP45A前后部角梁,BP45,1,0.115,0.058,0.0,0.057,质检部,祥鑫
BP45A-XC-04,BP45A后部角梁,BP45A-XC-03/04-YL-GY,48.5,BP45A前后部角梁,BP45,1,0.115,0.058,0.0,0.057,质检部,祥鑫
BP45A-XC-05,BP45A前左边梁,BP45A-XC-05-YL,211,BP45A前左边梁,BP45,1,0.784,0.673,0.0,0.111,质检部,祥鑫
BP45A-XC-06,BP45A左边梁,BP45A-XC-06-YL,807,BP45A左边梁,BP45,1,1.944,1.87,0.0,0.074,质检部,祥鑫
BP45A-XC-07,BP45A右边梁,BP45A-XC-07-YL,858,BP45A右边梁,BP45,1,2.106,2.034,0.0,0.072,质检部,祥鑫
BP45A-XC-08,BP45A纵梁,BP45A-XC-08-YL,761,BP45A纵梁,BP45,1,1.448,1.38,0.0,0.068,质检部,祥鑫
BP45A-XC-09,BP45A后左边梁,BP45A-XC-09-YL,211,BP45A后左边梁,BP45,1,0.784,0.673,0.0,0.111,质检部,祥鑫
BP45A-XC-10,BP45A前横梁,BP45A-XC-10-YL,511,BP45A前横梁,BP45,1,0.815,0.64,0.0,0.175,质检部,祥鑫
BP45A-XC-11,BP45（76）A后横梁,BP45A-XC-11-YL,323,BP45（76）A后横梁,BP45,1,0.412,0.407,0.0,0.005,质检部,祥鑫
BP45A-XC-12,BP45（76）A吊耳01,BP45A-XC-12-YL,82,BP45（76）A吊耳01,BP45,1,0.501,0.46,0.0,0.041,质检部,祥鑫
BP45A-XC-13,BP45（76）A吊耳02,BP45A-XC-13-YL,95,BP45（76）A吊耳02,BP45,1,0.575,0.496,0.0,0.079,质检部,祥鑫
BP45A-XC-14,BP45（76）A吊耳03,BP45A-XC-14-YL,50,BP45（76）A吊耳03,BP45,1,0.319,0.277,0.0,0.042,质检部,祥鑫
BP45A-XC-15,BP45（76）A支架,BP45A-XC-15-YL,24,BP45（76）A支架,BP45,1,0.015,0.012,0.0,0.003,质检部,祥鑫
BP45B-XC-01,BP45B前边梁,BP45B-XC-01-YL,724.5,BP45B前边梁,BP45,1,3.178,0.87,1.314,0.994,质检部,祥鑫
BP45B-XC-02,BP45B后边梁,BP45B-XC-02-YL,723,BP45B后边梁,BP45,1,4.022,2.488,0.298,1.236,质检部,祥鑫
BP45B-XC-03,BP45（76）B左边梁,BP45B-XC-03-YL,921,BP45（76）B左边梁,BP45,1,4.114,3.914,0.0,0.2,质检部,祥鑫
BP45B-XC-04,BP45B右边梁,BP45B-XC-04-YL,921,BP45B右边梁,BP45,1,3.896,2.2,0.808,0.888,质检部,祥鑫
BP45B-XC-05,BP45（76）B前横梁,BP45B-XC-05-YL,666.3,BP45（76）B前横梁,BP45,1,1.302,1.276,0.0,0.026,质检部,祥鑫
BP45B-XC-06,BP45B中纵梁,BP45B-XC-06-YL,788,BP45B中纵梁,BP45,1,1.482,1.446,0.0,0.036,质检部,祥鑫
BP45B-XC-07,BP45（76）B小梁1,BP45B-XC-07/08/09/-YL-GY,76,BP45（76）B小梁1/2/3,BP45,1,0.057,0.053,0.0,0.004,质检部,祥鑫
BP45B-XC-08,BP45（76）B小梁2,BP45B-XC-07/08/09/-YL-GY,76,BP45（76）B小梁1/2/3,BP45,1,0.057,0.053,0.0,0.004,质检部,祥鑫
BP45B-XC-09,BP45（76）B小梁3,BP45B-XC-07/08/09/-YL-GY,76,BP45（76）B小梁1/2/3,BP45,1,0.057,0.053,0.0,0.004,质检部,祥鑫
BP62-XC-01,BP62左边框,BP62-XC-01-YL-GY,1060.75,BP62左/右边框,BP62,1,6.426,5.19,0.46,0.776,质检部,祥鑫
BP62-XC-02,BP62右边框,BP62-XC-01-YL-GY,1060.75,BP62左/右边框,BP62,1,6.426,5.161,0.46,0.805,质检部,祥鑫
BP62-XC-03,BP62前横梁,BP62-XC-03-YL,819.12,BP62前横梁,BP62,1,0.886,0.874,0.0,0.012,质检部,祥鑫
BP62-XC-04,BP62后横梁,BP62-XC-04-YL,910.35,BP62后横梁,BP62,1,0.988,0.972,0.0,0.016,质检部,祥鑫
BP62-XC-05-A,BP62横梁-A,BP62-XC-05-A-YL,865.57,BP62横梁-A,BP62,1,1.588,1.57,0.0,0.018,质检部,祥鑫
BP62-XC-06-A,BP62中梁-A,BP62-XC-06-A-YL,830,BP62中梁-A,BP62,1,1.518,1.464,0.0,0.054,质检部,祥鑫
BP62-XC-07,BP62前边框,BP62-XC-07-YL,857.35,BP62前边框,BP62,1,2.49,1.722,0.582,0.186,质检部,祥鑫
BP62-XC-07-自制,BP62前边框-自制,BP62-XC-07-YL,857.35,BP62前边框,BP62,1,2.49,1.722,0.582,0.186,质检部,祥鑫
BP62-XC-08,BP62后边框,BP62-XC-08-YL,968.39,BP62后边框,BP62,1,2.822,1.912,0.204,0.706,质检部,祥鑫
BP62-XC-09,BP62前梁,BP62-XC-09-YL,811.21,BP62前梁,BP62,1,1.934,1.172,0.332,0.43,质检部,祥鑫
BP62-XC-10,BP62后梁,BP62-XC-10-YL,894,BP62后梁,BP62,1,2.252,1.242,0.53,0.48,质检部,祥鑫
BP62-XC-11,BP62支架1,BP62-XC-11-YL,BP62-XC-11-YL,BP62支架1,BP62,1,0.012,0.012,0.0,0.0,外协,祥鑫
BP62-XC-12,BP62加强块1,BP62-XC-12-YL,41.1,BP62加强块1,BP62,1,0.108,0.107,0.0,0.001,外协,祥鑫
BP62-XC-13,BP62加强块2,BP62-XC-13-YL,BP62-XC-13-YL,BP62加强块2,BP62,1,0.108,0.107,0.0,0.001,外协,祥鑫
BP62-XC-14,BP62加强块3,BP62-XC-14-YL,BP62-XC-14-YL,BP62加强块3,BP62,1,0.111,0.11,0.0,0.001,外协,祥鑫
BP62-XC-15,BP62加强块4,BP62-XC-15-YL,BP62-XC-15-YL,BP62加强块4,BP62,1,0.111,0.11,0.0,0.001,外协,祥鑫
BP62-XC-16,BP62支架块1,BP62-XC-16-YL,BP62-XC-16-YL,BP62支架块1,BP62,4,0.145,0.145,0.0,0.0,外协,祥鑫
BP62-XC-17,BP62小纵梁01,BP62-XC-17-YL,BP62-XC-17-YL,BP62小纵梁01,BP62,2,0.072,0.07,0.0,0.002,外协,祥鑫
BP62-XC-18,BP62小纵梁02,BP62-XC-18-YL,BP62-XC-18-YL,BP62小纵梁02,BP62,2,0.077,0.075,0.0,0.002,外协,祥鑫
BP62-XC-19,BP62-支架02,BP62-XC-19-YL,BP62-XC-19-YL,BP62-支架02,BP62,1,0.0,0.0,0.0,0.0,外协,祥鑫
BP76A-XC-01,BP76A-前边梁,BP76A-XC-01-YL,369.5,BP76A-前边梁,BP76,1,1.846,0.567,0.0,1.279,质检部,祥鑫
BP76A-XC-02,BP76A-后边梁,BP76A-XC-02-YL,369.5,BP76A-后边梁,BP76,1,1.538,0.642,0.0,0.896,质检部,祥鑫
BP76A-XC-03,BP76A-前部角梁,BP76A-XC-03/04-YL,48.5,BP76A-前后部角梁,BP76,1,0.115,0.058,0.0,0.057,质检部,祥鑫
BP76A-XC-04,BP76A-后部角梁,BP76A-XC-03/04-YL,48.5,BP76A-前后部角梁,BP76,1,0.115,0.058,0.0,0.057,质检部,祥鑫
BP76A-XC-05,BP76A-前左边梁,BP76A-XC-05-YL,211,BP76A-前左边梁,BP76,1,0.784,0.673,0.0,0.111,质检部,祥鑫
BP76A-XC-06,BP76A-左边梁,BP76A-XC-06-YL,807,BP76A-左边梁,BP76,1,0.433,0.374,0.0,0.059,质检部,祥鑫
BP76A-XC-07,BP76A-右边梁,BP76A-XC-07-YL,858,BP76A-右边梁,BP76,1,0.728,0.61,0.0,0.118,质检部,祥鑫
BP76A-XC-08,BP76A-纵梁,BP76A-XC-08-YL,760.5,BP76A-纵梁,BP76,1,1.448,1.38,0.0,0.068,质检部,祥鑫
BP76A-XC-09,BP76A-后左边梁,BP76A-XC-09-YL,211,BP76A-后左边梁,BP76,1,0.784,0.673,0.0,0.111,质检部,祥鑫
BP76A-XC-10,BP76A-前横梁,BP76A-XC-10-YL,511,BP76A-前横梁,BP76,1,0.81,0.615,0.0,0.195,质检部,祥鑫
BP76B-XC-01,BP76B-前边梁,BP76B-XC-01-YL,724.5,BP76B-前边梁,BP76,1,2.838,0.752,1.146,0.94,质检部,祥鑫
BP76B-XC-02,BP76B-后边梁,BP76B-XC-02-YL,723,BP76B-后边梁,BP76,1,3.658,2.298,0.128,1.232,质检部,祥鑫
BP76B-XC-04,BP76B-右边梁,BP76B-XC-04-YL,921,BP76B-右边梁,BP76,1,3.422,1.892,0.84,0.69,质检部,祥鑫
BP76B-XC-06,BP76B-中纵梁,BP76B-XC-06-YL,788,BP76B-中纵梁,BP76,1,1.482,1.446,0.0,0.036,质检部,祥鑫
BP80-XC-01,BP80-前边框,BP80-XC-01-YL,858.448,BP80-前边框,BP80,1,2.605,1.865,0.23,0.51,质检部,祥鑫
BP80-XC-02,BP80-后边框,BP80-XC-02-YL,959.072,BP80-后边框,BP80,1,2.89,2.04,0.275,0.575,质检部,祥鑫
BP80-XC-03,BP80-左边框,BP80-XC-03/04-YL-GY,961.3,BP80-左右边框,BP80,1,5.755,4.6,0.55,0.605,质检部,祥鑫
BP80-XC-04,BP80-右边框,BP80-XC-03/04-YL-GY,961.3,BP80-左右边框,BP80,1,5.755,4.615,0.56,0.58,质检部,祥鑫
BP80-XC-05,BP80-前横梁,BP80-XC-05-YL,819.3,BP80-前横梁,BP80,1,0.776,0.769,0.0,0.007,质检部,祥鑫
BP80-XC-06,BP80-后横梁,BP80-XC-06-YL,900.35,BP80-后横梁,BP80,1,0.852,0.846,0.0,0.006,质检部,祥鑫
BP80-XC-07,BP80-中梁1,BP80-XC-07-YL,860.75,BP80-中梁1,BP80,1,1.72,1.705,0.0,0.015,质检部,祥鑫
BP80-XC-08,BP80-支架1,BP80-XC-08-YL,20,BP80-支架1,BP80,1,0.0042,0.0041,0.0,0.0001,质检部,祥鑫
BP80-XC-09,BP80-加强块1,BP80-XC-09-YL,51.4,BP80-加强块1,BP80,1,0.046,0.045,0.0,0.001,质检部,祥鑫
BP80-XC-10,BP80-加强块2,BP80-XC-10-YL,51.4,BP80-加强块2,BP80,1,0.046,0.045,0.0,0.001,质检部,祥鑫
BP80-XC-11,BP80-支架块1,BP80-XC-11-YL,24,BP80-支架块1,BP80,1,0.049,0.049,0.0,0.0,质检部,祥鑫
BP80-XC-12,BP80-小纵梁01,BP80-XC-12-YL,48.55,BP80-小纵梁01,BP80,1,0.023,0.022,0.0,0.001,质检部,祥鑫
BP80-XC-13,BP80-小纵梁02,BP80-XC-13-YL,52.45,BP80-小纵梁02,BP80,1,0.021,0.02,0.0,0.001,质检部,祥鑫
BP80-XC-14,BP80-支架02,BP80-XC-14-YL,14.5,BP80-支架02,BP80,1,0.032,0.028,0.0,0.004,质检部,祥鑫
BP80-XC-15,BP80-前梁,BP80-XC-15-YL,811.5,BP80-前梁,BP80,1,1.9,1.143,0.58,0.177,质检部,祥鑫
BP80-XC-16,BP80-后梁,BP80-XC-16-YL,884,BP80-后梁,BP80,1,2.15,1.3,0.4,0.45,质检部,祥鑫
BP80-XC-17,BP80-中梁2,BP80-XC-17-YL,830,BP80-中梁2,BP80,1,1.66,1.605,0.0,0.055,质检部,祥鑫
BV85-B-PTCH-001,BV85-电池管理系统支架,BV85-B-PTCH-001-YL,BV85-B-PTCH-001-YL,BV85-电池管理系统支架,BV85,2,0.164,0.072,0.0,0.092,外协,祥鑫
BV85-B-XC-001,BV85前边梁,BV85-B-XC-001-YL,887.404,BV85前边梁,BV85,1,0.97,0.95,0.0,0.2,质检部,祥鑫
BV85-B-XC-002,BV85-前左斜梁,BV85-B-XC-002-YL,134.867,BV85-前左斜梁,BV85,1,0.502,0.434,0.0,0.068,质检部,祥鑫
BV85-B-XC-003,BV85-前右斜梁,BV85-B-XC-003-YL,134.867,BV85-前右斜梁,BV85,1,0.502,0.434,0.0,0.068,质检部,祥鑫
BV85-B-XC-004,BV85左边梁,BV85-B-XC-004-YL,1704.43,BV85左边梁,BV85,1,8.405,6.395,1.11,0.91,质检部,祥鑫
BV85-B-XC-005,BV85右边梁,BV85-B-XC-005-YL,1704.43,BV85右边梁,BV85,1,8.635,6.535,1.14,0.96,质检部,祥鑫
BV85-B-XC-006,BV85后边梁,BV85-B-XC-006-YL,1138.7,BV85后边梁,BV85,1,3.335,2.495,0.485,0.355,质检部,祥鑫
BV85-B-XC-007,BV85前横梁,BV85-B-XC-007-YL,1090,BV85前横梁,BV85,1,2.515,1.85,0.495,0.17,质检部,祥鑫
BV85-B-XC-008,BV85中横梁,BV85-B-XC-008-YL,1090,BV85中横梁,BV85,1,2.51,2.32,0.09,0.1,质检部,祥鑫
BV85-B-XC-009,BV85后横梁,BV85-B-XC-009-YL,1080,BV85后横梁,BV85,1,2.0,1.86,0.095,0.045,质检部,祥鑫
BV85-B-XC-010,BV85-纵梁1,BV85-B-XC-010-YL,344.3,BV85-纵梁1,BV85,4,0.041,0.036,0.0,0.005,外协,祥鑫
BV85-B-XC-011,BV85-纵梁2,BV85-B-XC-011-YL,344.3,BV85-纵梁2,BV85,4,0.041,0.037,0.0,0.004,外协,祥鑫
BV85-B-XC-012,BV85-电气插件线束固定梁,BV85-B-XC-012-YL,39,BV85-电气插件线束固定梁,BV85,1,0.008,0.006,0.0,0.002,外协,祥鑫
BV85-B-XC-013,BV85-支撑小梁,BV85-B-XC-013-YL,75.199,BV85-支撑小梁,BV85,1,0.012,0.011,0.0,0.001,外协,祥鑫
BV85-B-XC-014,BV85-BMS支撑梁01,BV85-B-XC-014-YL,218.505,BV85-BMS支撑梁01,BV85,3,0.433,0.341,0.0,0.092,外协,祥鑫
BV85-B-XC-014-1,BV85-BMS支撑梁01-01,BV85-B-XC-014-1-YL,230.271,BV85-BMS支撑梁01-01,BV85,3,0.086,0.083,0.0,0.003,外协,祥鑫
BV85-B-XC-015,BV85-BMS支撑梁02,BV85-B-XC-015-YL,218.565,BV85-BMS支撑梁02,BV85,3,0.086,0.083,0.0,0.003,外协,祥鑫
BV85-B-XC-015-2,BV85-BMS支撑梁02-02,BV85-B-XC-015-2-YL,230.271,BV85-BMS支撑梁02-02,BV85,3,0.02,0.014,0.0,0.006,外协,祥鑫
BV85-B-XC-017,BV85冷板加强板02,BV85-B-XC-017-YL,1000,BV85冷板加强板02,BV85,1,0.345,0.34,0.0,0.005,质检部,祥鑫
BV85-B-XC-018,BV85冷板加强板03,BV85-B-XC-018-YL,1040,BV85冷板加强板03,BV85,1,0.79,0.73,0.0,0.06,质检部,祥鑫
BV85-B-XC-019,BV85-水管支撑小梁1,BV85-B-XC-019-YL,135.962,BV85-水管支撑小梁1,BV85,2,0.086,0.084,0.0,0.002,外协,祥鑫
BV85-B-XC-019-A,BV85-水管支撑小梁1-A,BV85-B-XC-019-A-YL,135.899,BV85-水管支撑小梁1-A,BV85,2,0.385,0.318,0.0,0.067,外协,祥鑫
BV85-B-XC-020,BV85-水管支撑小梁2,BV85-B-XC-020-YL,135.899,BV85-水管支撑小梁2,BV85,2,0.086,0.083,0.0,0.003,外协,祥鑫
BV85-B-XC-021,BV85-电气支架实心梁,BV85-B-XC-021-YL,135.899,BV85-电气支架实心梁,BV85,2,0.146,0.135,0.0,0.011,外协,祥鑫
BV85-B-XC-024,BV85-小块支架,BV85-B-XC-024-YL,36.931,BV85-小块支架,BV85,1,0.414,0.348,0.0,0.066,外协,祥鑫
BV85-B-XC-025,BV85-托举块,BV85-B-XC-025-YL,74.7,BV85-托举块,BV85,2,0.078,0.074,0.0,0.004,外协,祥鑫
03.09.01.0019,JL5500YS导链器支架19,VL1-1703A4-001-09-YL,28.6,VL1套筒,BX4,1,0.0,0.0,0.0,0.0,质检部,联伟
500109-00427-01-01-01,BX4（F1L）左侧梁(通用）,500109-00634-01-01-01/02-YL-GY,1899.4,F1L-两侧梁,BX4,1,9.538,8.03,0.71,0.798,质检部,联伟
500109-00427-01-01-02-D,BX4四驱（F1L）右侧梁,500109-00634-01-01-01/02-YL-GY,1899.4,F1L-两侧梁,BX4,1,9.538,8.03,0.71,0.798,质检部,联伟
500109-00427-01-07-01,BX4挂载支架-左,500109-00427-01-07-01-YL,500109-00427-01-07-01-YL,BX4挂载支架-左,BX4,1,1.3,0.657,0.0,0.643,外协,联伟
500109-00427-01-07-02,BX4挂载支架-右,500109-00427-01-07-02-YL,500109-00427-01-07-02-YL,BX4挂载支架-右,BX4,1,1.3,0.657,0.0,0.643,外协,联伟
500109-00428-01-01-02-D,BX4两驱-右侧梁,500109-00634-01-01-01/02-YL-GY,1899.4,F1L-两侧梁,BX4,1,9.538,8.03,0.71,0.798,质检部,联伟
500109-00428-01-13-01-C,BX4纵梁左(两驱),500109-00634-01-13-01/02-YL-GY,1680.5,F1L-纵梁,BX4,1,2.72,2.33,0.0,0.39,质检部,联伟
500109-00428-01-13-02-C,BX4纵梁右(两驱),500109-00634-01-13-01/02-YL-GY,1680.5,F1L-纵梁,BX4,1,2.72,2.33,0.0,0.39,质检部,联伟
500109-00634-01-13-01,BX4四驱（F1L）纵梁左,500109-00634-01-13-01/02-YL-GY,1680.5,F1L-纵梁,BX4,1,2.72,2.299,0.0,0.421,质检部,联伟
500109-00634-01-13-02,BX4四驱（F1L）纵梁右,500109-00634-01-13-01/02-YL-GY,1680.5,F1L-纵梁,BX4,1,2.72,2.299,0.0,0.421,质检部,联伟
500109-00249-01-01,C01左边框,500109-00249-01-01-YL-GY,1372.23*189.83*100.5,C01左右边框,C01,1,7.2,4.7,0.098,2.402,机加部,联伟
500109-00249-01-02,C01右边框,500109-00249-01-01-YL-GY,1372.23*189.83*100.5,C01左右边框,C01,1,7.2,5.2,0.098,1.902,机加部,联伟
500109-00249-01-03,C01左前梁,500109-00249-01-03-YL,500109-00249-01-03-YL,C01左前梁,C01,1,0.401,0.328,0.0,0.073,外协,联伟
500109-00249-01-03-01,C01右前梁,500109-00249-01-03-01-YL,500109-00249-01-03-01-YL,C01右前梁,C01,1,0.37,0.323,0.0,0.047,外协,联伟
500109-00249-01-04,C01前梁,500109-00249-01-04-YL,674.34*132*89.5,C01前梁,C01,1,2.238,1.689,0.0,0.549,机加部,联伟
500109-00249-01-34,C01挂载,500109-00249-01-34-YL,500109-00249-01-34-YL,C01挂载,C01,1,0.104,0.088,0.0,0.016,外协,联伟
500109-00426-28,C385横梁2,500109-00426-28-YL,983*96.7*61,C385横梁2,C385,1,2.65,2.63,0.0,0.02,机加部,联伟
500109-00426-80,C385下箱体纵梁,500109-00426-80-YL,989*90.9*22,C385下箱体纵梁,C385,2,1.55,1.5,0.0,0.05,机加部,联伟
2101771-DF19-1002_01-A,C385MCA右边框,2101771-DF19-1002_01-A-YL-GY,1645,C385MCA左右边框,C385MCA,1,5.86,4.604,0.86,0.396,机加部,锦佳盛
