单据号,物资编码,物资名称,计量单位,入出库编码,入出库类型,入出库标识,库房,业务时间,数量,核算期,审核人,部门,用途,合作伙伴,单据描述,行描述,要货日期,审核时间
RZZ260526334,10062035-0-04-A,025AC后边梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 17:23:43,100,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R20260521-5889-CQYXL-1390,2026/5/26 0:00:00,2026/5/26 17:27:30
RZZ260526334,500109-00312-01-03,E35前梁01,件,CRK31,检验入库,R,在制成品库,2026/5/26 17:23:43,200,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R260526006-000-CQYXL-1976,2026/5/26 0:00:00,2026/5/26 17:27:36
ZZKCK260526023,BP45B-XC-01,BP45B前边梁,个,CRK32,包装出库,C,在制成品库,2026/5/26 17:15:07,160,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260526_9054,2026/5/26 0:00:00,2026/5/26 17:18:28
CCPRK260526023,BP45B-XC-01,BP45B前边梁,个,CRK03,完工入库,R,成品库,2026/5/26 17:15:07,160,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260526_9054,2026/5/26 0:00:00,2026/5/26 17:18:26
ZZKCK260526022,BP45B-XC-01,BP45B前边梁,个,CRK32,包装出库,C,在制成品库,2026/5/26 16:54:10,160,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260526_9053,2026/5/26 0:00:00,2026/5/26 17:00:20
CCPRK260526022,BP45B-XC-01,BP45B前边梁,个,CRK03,完工入库,R,成品库,2026/5/26 16:54:09,160,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260526_9053,2026/5/26 0:00:00,2026/5/26 17:00:19
RZZ260526323,BP45B-XC-01,BP45B前边梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 16:45:46,240,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R260525026-000-CQYXL-1856,2026/5/26 0:00:00,2026/5/26 16:48:28
RZZ260526323,10062035-0-04-A,025AC后边梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 16:45:46,100,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R20260524-6121-CQYXL-1833,2026/5/26 0:00:00,2026/5/26 16:48:30
RZZ260526321,500109-00312-01-19,E35纵梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 16:40:53,100,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260525-6136-CQYXL-1840,2026/5/26 0:00:00,2026/5/26 16:42:45
ZZKCK260526021,500109-00698-01-03,EHU-56左右边梁01,个,CRK32,包装出库,C,在制成品库,2026/5/26 16:39:09,30,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260526_9051,2026/5/26 0:00:00,2026/5/26 16:42:41
