单据号,物资编码,物资名称,计量单位,入出库编码,入出库类型,入出库标识,库房,业务时间,数量,核算期,审核人,部门,用途,合作伙伴,单据描述,行描述,要货日期,审核时间
C260526003,10062035-0-11,025AC右边梁,个,CRK80,调拨出库,C,成品库,2026/5/26 19:48:28,120,202605,YXL-024,联伟,交付,,调拨出库扫码,YXL260526_9038,2026/5/26 0:00:00,2026/5/26 19:51:29
C260526003,500104-00518-01-04-A,小卡三代-前膨胀梁,个,CRK80,调拨出库,C,成品库,2026/5/26 19:48:28,252,202605,YXL-024,联伟,交付,,调拨出库扫码,YXL260522_8945,2026/5/26 0:00:00,2026/5/26 19:51:30
C260526003,10062035-0-02,025AC前边梁,个,CRK80,调拨出库,C,成品库,2026/5/26 19:48:28,360,202605,YXL-024,联伟,交付,,调拨出库扫码,YXL260525_9020,2026/5/26 0:00:00,2026/5/26 19:51:31
C260526003,500104-00518-01-05-B,小卡三代-后膨胀梁,个,CRK80,调拨出库,C,成品库,2026/5/26 19:48:28,160,202605,YXL-024,联伟,交付,,调拨出库扫码,YXL260526_9043,2026/5/26 0:00:00,2026/5/26 19:51:32
BGC260526050,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,个,CRK04,生产领用,C,原材料库,2026/5/26 19:48:01,83,202605,YXL-JG0107W,劳务3,生产,,生产领料,R20260526-6207-CQYXL,2026/5/26 0:00:00,2026/5/26 19:51:23
BGC260526050,10062035-0-03/11-YL-GY,025AC左右边梁,个,CRK04,生产领用,C,原材料库,2026/5/26 19:48:01,26,202605,YXL-JG0039,廖强,生产,,生产领料,R20260526-6174-CQYXL,2026/5/26 0:00:00,2026/5/26 19:51:23
BGC260526050,500109-00249-01-01-YL-GY,C01左右边框,个,CRK04,生产领用,C,原材料库,2026/5/26 19:48:01,2,202605,YXL-JG0107W,劳务3,生产,,生产领料,R20260526-6218-CQYXL,2026/5/26 0:00:00,2026/5/26 19:51:24
BGC260526049,500110-00799-01-02,AWT87.3-横梁01,个,CRK04,生产领用,C,二次机加库,2026/5/26 19:39:01,100,202605,YXL-JG0110W,劳务6,生产,,生产领料,R20260526-6196-CQYXL,2026/5/26 0:00:00,2026/5/26 19:42:20
R260526084,BP76A-XC-02,BP76A-后边梁,个,CRK11,外协入库,R,转序库,2026/5/26 19:36:18,360,202605,YXL-026,,外协入库,,,,2026/5/26 0:00:00,2026/5/26 19:39:19
RZZ260526373,500104-00518-01-03-C,小卡三代-前边框梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 19:22:47,50,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R20260522-6032-CQYXL-1502,2026/5/26 0:00:00,2026/5/26 19:24:24
RZZ260526373,500104-00518-01-03-C,小卡三代-前边框梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 19:22:47,50,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R20260522-5953-CQYXL-1426,2026/5/26 0:00:00,2026/5/26 19:24:25
RZZ260526373,500104-00518-01-03-C,小卡三代-前边框梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 19:22:47,50,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R20260519-5791-CQYXL-1023,2026/5/26 0:00:00,2026/5/26 19:24:25
BGC260526047,10062035-0-03/11-YL-GY,025AC左右边梁,个,CRK04,生产领用,C,原材料库,2026/5/26 19:15:01,56,202605,YXL-JG0015,王永强,生产,,生产领料,R20260526-6170-CQYXL,2026/5/26 0:00:00,2026/5/26 19:18:22
RZZ260526366,10062035-0-11,025AC右边梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 19:00:46,50,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260524-6050-CQYXL-1777,2026/5/26 0:00:00,2026/5/26 19:03:24
RZZ260526363,500104-00518-01-010-01-C,小卡三代-左边框,件,CRK31,检验入库,R,在制成品库,2026/5/26 18:53:13,50,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260413-3663-CQYXL-5601,2026/5/26 0:00:00,2026/5/26 18:57:19
R260526080,BP45A-XC-02-YL,BP45A后边梁,个,CRK01,采购入库,R,原材料库,2026/5/26 18:50:50,17,202605,YXL-022,,采购收货,三星,,,2026/5/26 0:00:00,2026/5/26 18:57:18
R260526080,500104-00746-01-01-C-YL,AB01-746-下箱体集成水冷板左,个,CRK01,采购入库,R,原材料库,2026/5/26 18:50:50,60,202605,YXL-022,,采购收货,三星,,,2026/5/26 0:00:00,2026/5/26 18:57:19
BGR260526045,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,个,CRK27,二次加工,R,二次机加库,2026/5/26 18:36:01,58,202605,YXL-JG0128,何贵海,机加生产,,生产领料,R20260526-6206-CQYXL,2026/5/26 0:00:00,2026/5/26 18:39:18
BGC260526045,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,个,CRK04,生产领用,C,原材料库,2026/5/26 18:36:01,58,202605,YXL-JG0128,何贵海,生产,,生产领料,R20260526-6206-CQYXL,2026/5/26 0:00:00,2026/5/26 18:39:18
RZZ260526356,500104-00518-01-010-02-C,小卡三代-右边框,件,CRK31,检验入库,R,在制成品库,2026/5/26 18:29:35,50,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260518-5737-CQYXL-0945,2026/5/26 0:00:00,2026/5/26 18:33:25
WXXSC260526024,SD01-61KWH-B-XC-013,SD01前端检修口加强梁02,件,CRK11,外协入库,R,成品库,2026/5/26 17:40:23,122,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:23
WXHCR260526024,SD01-61KWH-B-XC-013,SD01前端检修口加强梁02,件,CRK02,销售出库,C,成品库,2026/5/26 17:40:23,122,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:25
WXXSC260526024,SD01-61KWH-B-XC-023,SD01接地点支架,件,CRK11,外协入库,R,成品库,2026/5/26 17:40:23,101,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:41
WXHCR260526024,SD01-61KWH-B-XC-023,SD01接地点支架,件,CRK02,销售出库,C,成品库,2026/5/26 17:40:23,101,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:43
WXXSC260526024,SD01-61KWH-B-XC-020,SD01前端吊挂,件,CRK11,外协入库,R,成品库,2026/5/26 17:40:23,492,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:44
WXHCR260526024,SD01-61KWH-B-XC-020,SD01前端吊挂,件,CRK02,销售出库,C,成品库,2026/5/26 17:40:23,492,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:46
WXXSC260526024,SD01-61KWH-B-XC-021,SD01后端挂载,件,CRK11,外协入库,R,成品库,2026/5/26 17:40:23,236,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:47
WXHCR260526024,SD01-61KWH-B-XC-021,SD01后端挂载,件,CRK02,销售出库,C,成品库,2026/5/26 17:40:23,236,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:48
WXXSC260526024,SD01-61KWH-B-XC-015,SD01后端加强纵梁02,件,CRK11,外协入库,R,成品库,2026/5/26 17:40:23,113,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:48
WXHCR260526024,SD01-61KWH-B-XC-015,SD01后端加强纵梁02,件,CRK02,销售出库,C,成品库,2026/5/26 17:40:23,113,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:49
WXXSC260526024,SD01-61KWH-B-XC-012,SD01前端检修口加强梁01,件,CRK11,外协入库,R,成品库,2026/5/26 17:40:23,143,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:49
WXHCR260526024,SD01-61KWH-B-XC-012,SD01前端检修口加强梁01,件,CRK02,销售出库,C,成品库,2026/5/26 17:40:23,143,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:50
WXXSC260526024,SD01-61KWH-B-XC-019,SD01后端加强横梁2,件,CRK11,外协入库,R,成品库,2026/5/26 17:40:23,65,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:50
WXHCR260526024,SD01-61KWH-B-XC-019,SD01后端加强横梁2,件,CRK02,销售出库,C,成品库,2026/5/26 17:40:23,65,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:51
WXXSC260526024,SD01-61KWH-B-XC-017,SD01后端加强纵梁04,件,CRK11,外协入库,R,成品库,2026/5/26 17:40:23,112,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:51
WXHCR260526024,SD01-61KWH-B-XC-017,SD01后端加强纵梁04,件,CRK02,销售出库,C,成品库,2026/5/26 17:40:23,112,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:53
WXXSC260526024,SD01-61KWH-B-XC-018,SD01后端加强横梁1,件,CRK11,外协入库,R,成品库,2026/5/26 17:40:23,116,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:51:18
WXHCR260526024,SD01-61KWH-B-XC-018,SD01后端加强横梁1,件,CRK02,销售出库,C,成品库,2026/5/26 17:40:23,116,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:51:18
WXXSC260526024,SD01-61KWH-B-XC-016,SD01后端加强纵梁03,件,CRK11,外协入库,R,成品库,2026/5/26 17:40:23,116,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:51:19
WXHCR260526024,SD01-61KWH-B-XC-016,SD01后端加强纵梁03,件,CRK02,销售出库,C,成品库,2026/5/26 17:40:23,116,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:51:19
WXXSC260526024,SD01-61KWH-B-XC-022,SD01前护板支架,件,CRK11,外协入库,R,成品库,2026/5/26 17:40:23,1088,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:29
WXHCR260526024,SD01-61KWH-B-XC-022,SD01前护板支架,件,CRK02,销售出库,C,成品库,2026/5/26 17:40:23,1088,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:31
WXXSC260526024,SD01-61KWH-B-XC-014,SD01后端加强纵梁01,件,CRK11,外协入库,R,成品库,2026/5/26 17:40:23,116,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:35
WXHCR260526024,SD01-61KWH-B-XC-014,SD01后端加强纵梁01,件,CRK02,销售出库,C,成品库,2026/5/26 17:40:23,116,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:37
WXXSC260526023,SD01-61KWH-B-XC-011,SD01前加强梁,件,CRK11,外协入库,R,成品库,2026/5/26 17:32:40,133,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:32
WXHCR260526023,SD01-61KWH-B-XC-011,SD01前加强梁,件,CRK02,销售出库,C,成品库,2026/5/26 17:32:40,133,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:34
WXXSC260526022,SD01-61KWH-B-XC-006,SD01右后斜边梁,件,CRK11,外协入库,R,成品库,2026/5/26 17:32:17,24,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:26
WXHCR260526022,SD01-61KWH-B-XC-006,SD01右后斜边梁,件,CRK02,销售出库,C,成品库,2026/5/26 17:32:17,24,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:28
WXXSC260526021,SD01-61KWH-B-XC-005,SD01左后斜边框,件,CRK11,外协入库,R,成品库,2026/5/26 17:31:56,123,202605,YXL-026,亿企,外协入库,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:38
WXHCR260526021,SD01-61KWH-B-XC-005,SD01左后斜边框,件,CRK02,销售出库,C,成品库,2026/5/26 17:31:56,123,202605,YXL-026,亿企,回厂同步交付,,"销售出库业务,运输车辆：渝AE5629",外协成品回厂,2026/5/26 0:00:00,2026/5/26 21:49:40
ZZKCK260526024,500109-00312-01-03,E35前梁01,个,CRK32,包装出库,C,在制成品库,2026/5/26 17:24:13,290,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260526_9055,2026/5/26 0:00:00,2026/5/26 17:27:42
CCPRK260526024,500109-00312-01-03,E35前梁01,个,CRK03,完工入库,R,成品库,2026/5/26 17:24:13,290,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260526_9055,2026/5/26 0:00:00,2026/5/26 17:27:37
